k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206082007000400-89                            ;RW 1 RT 2;89;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000400-90                            ;RW 1 RT 2;90;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000400-92                            ;RW 1 RT 2;92;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-14                            ;RW 1 RT 3;14;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-18                            ;RW 1 RT 3;18;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-19                            ;RW 1 RT 3;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-2                             ;RW 1 RT 3;2;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-20                            ;RW 1 RT 3;20;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-21                            ;RW 1 RT 3;21;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-23                            ;RW 1 RT 3;23;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-28                            ;RW 1 RT 3;28;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000500-7                             ;RW 1 RT 3;7;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082007000800-59                            ;RW 2 RT 3;59;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082008000200-119                           ;DUSUN 2;119;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082008000200-37                            ;DUSUN 2;37;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082009000200-147                           ;DUSUN 2;147;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082009000200-155                           ;DUSUN 2;155;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082009000200-178                           ;DUSUN 2;178;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082009000300-85                            ;DUSUN 3;85;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082009000500-53                            ;DUSUN 5;53;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082010000100-19                            ;DUSUN 1;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082010000300-30                            ;DUSUN 3;30;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083001000200-66                            ;DUSUN 2;66;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083002000200-12                            ;DUSUN 2;12;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083002000200-13                            ;DUSUN 2;13;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083002000200-34                            ;DUSUN 2;34;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000100-39                            ;DUSUN 1;39;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000200-18                            ;DUSUN 2;18;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000200-19                            ;DUSUN 2;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000200-32                            ;DUSUN 2;32;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000200-33                            ;DUSUN 2;33;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000200-35                            ;DUSUN 2;35;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083003000200-36                            ;DUSUN 2;36;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083004000100-15                            ;DUSUN 1;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083004000100-73                            ;DUSUN 1;73;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083004000200-40                            ;DUSUN 2;40;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083005000100-21                            ;DUSUN 1;21;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083005000200-26                            ;DUSUN 2;26;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083006000200-51                            ;DUSUN 2;51;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083006000300-60                            ;DUSUN 3;60;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083008000100-91                            ;DUSUN 1;91;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083008000200-73                            ;DUSUN 2;73;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083011000100-53                            ;DUSUN 1;53;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083011000200-13                            ;DUSUN 2;13;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083013000100-3                             ;DUSUN 1;3;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083013000300-28                            ;DUSUN 3;28;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083013000300-31                            ;DUSUN 3;31;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083014000300-14                            ;DUSUN 3;14;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083014000300-25                            ;DUSUN 3;25;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206083015000100-53                            ;DUSUN 1;53;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030007000100-41                            ;DUSUN 1 HUTAGAOL;41;1;Punya Karyawan Dibayar tapi Internet Tidak Untuk Komunikasi;Jika rincian 502n (handphone) berkode 1, maka secara logikanya pemilik smartphone pasti menggunakan WA/aplikasi lainnya untuk komunikasi jadi 426 berkode 01;;
1206030007000100-52                            ;DUSUN 1 HUTAGAOL;52;1;Punya Karyawan Dibayar tapi Internet Tidak Untuk Komunikasi;Jika rincian 502n (handphone) berkode 1, maka secara logikanya pemilik smartphone pasti menggunakan WA/aplikasi lainnya untuk komunikasi jadi 426 berkode 01;;
1206030007000100-103                           ;DUSUN 1 HUTAGAOL;103;1;Punya Karyawan Dibayar tapi Internet Tidak Untuk Komunikasi;Jika rincian 502n (handphone) berkode 1, maka secara logikanya pemilik smartphone pasti menggunakan WA/aplikasi lainnya untuk komunikasi jadi 426 berkode 01;;
1206030007000100-104                           ;DUSUN 1 HUTAGAOL;104;1;Punya Karyawan Dibayar tapi Internet Tidak Untuk Komunikasi;Jika rincian 502n (handphone) berkode 1, maka secara logikanya pemilik smartphone pasti menggunakan WA/aplikasi lainnya untuk komunikasi jadi 426 berkode 01;;
1206030007000100-110                           ;DUSUN 1 HUTAGAOL;110;1;Punya Karyawan Dibayar tapi Internet Tidak Untuk Komunikasi;Jika rincian 502n (handphone) berkode 1, maka secara logikanya pemilik smartphone pasti menggunakan WA/aplikasi lainnya untuk komunikasi jadi 426 berkode 01;;
